Name,Age,Height,Weight,Overall,Potential,BestPosition,WeakFoot,SkillMoves,PaceTotal,ShootingTotal,PassingTotal,DribblingTotal,DefendingTotal,PhysicalityTotal,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,BMI,GK,Clasificación Habilidad
Moha Ramos,22,188,85,64,75,GK,3,1,60,64,62,65,28,64,12,10,12,17,8,14,13,14,28,11,31,23,24,60,32,47,50,33,62,7,17,8,10,32,11,31,15,13,15,60,64,62,64,65,24.049343594386603,1,Baja
Aceves,18,189,81,63,76,GK,3,1,66,59,64,67,24,58,15,10,10,24,11,9,16,15,25,15,20,31,30,54,50,48,64,27,75,12,27,15,8,41,14,37,20,14,13,66,59,64,58,67,22.67573696145125,1,Baja
D. Rusu,31,181,76,63,63,GK,2,1,62,61,61,63,22,62,22,12,20,16,17,10,21,13,18,16,22,22,38,66,48,46,60,25,51,20,32,13,10,49,14,33,16,15,12,62,61,61,62,63,23.198315069747565,1,Baja
M. Kovář,22,196,83,63,74,GK,4,1,63,61,65,62,30,62,12,9,11,38,10,11,15,11,43,28,26,37,31,61,22,49,40,28,55,6,25,12,7,49,15,55,12,14,10,63,61,65,62,62,21.60558100791337,1,Baja
G. Singh Sandhu,30,197,92,63,64,GK,2,1,62,59,60,63,41,61,20,13,18,24,16,13,14,20,27,23,42,40,38,65,37,45,51,36,70,13,23,23,16,40,15,57,19,15,11,62,59,60,61,63,23.70584142853462,1,Baja
J. Bartels,23,188,80,63,70,GK,4,1,65,65,61,64,38,63,12,9,11,27,5,8,10,12,18,17,36,40,22,45,32,46,42,17,58,6,28,11,5,22,11,37,7,11,14,65,65,61,63,64,22.634676324128566,1,Baja
B. Mrozek,22,191,82,63,74,GK,3,1,64,61,58,65,38,64,9,7,12,20,12,14,12,14,20,24,39,37,24,48,25,44,31,36,61,11,23,19,9,41,21,31,16,11,14,64,61,58,64,65,22.47745401715962,1,Baja
J. Hoekstra,23,190,75,63,71,GK,3,1,63,62,56,63,24,64,11,8,13,25,5,10,11,13,28,11,25,22,37,60,23,42,30,24,46,9,27,12,7,38,18,41,9,14,14,63,62,56,64,63,20.775623268698062,1,Baja
B. Voll,21,195,85,63,70,GK,3,1,66,61,64,69,24,60,8,9,11,24,7,11,11,11,19,14,24,25,27,46,20,48,22,21,67,8,20,4,6,32,7,29,5,12,10,66,61,64,60,69,22.35371466140697,1,Baja
A. Sorrentino,20,190,80,63,78,GK,3,1,65,64,60,67,40,62,13,5,10,21,9,12,11,12,18,13,39,41,23,48,26,45,38,20,64,6,26,10,5,33,14,34,6,12,10,65,64,60,62,67,22.1606648199446,1,Baja
A. Jaakkola,35,195,88,63,63,GK,2,1,63,62,60,63,52,64,15,12,10,34,12,11,12,13,44,12,52,51,50,57,30,45,68,29,64,14,41,30,12,52,13,37,15,14,11,63,62,60,64,63,23.14266929651545,1,Baja
Y. Meykher,22,184,79,63,72,GK,3,1,64,66,63,63,33,58,14,9,11,19,7,8,13,12,20,13,35,30,38,60,43,47,67,25,60,8,20,14,9,35,13,23,12,13,12,64,66,63,58,63,23.334120982986768,1,Baja
M. Mansilla,26,188,80,63,67,GK,3,1,59,65,64,65,25,69,14,9,11,18,7,10,14,14,24,19,30,17,36,45,36,48,47,22,63,8,21,9,8,28,11,37,7,10,13,59,65,64,69,65,22.634676324128566,1,Baja
R. Farro,37,179,80,63,63,GK,2,1,60,63,60,65,45,62,19,12,11,24,18,17,19,13,24,16,45,46,40,60,39,45,62,38,76,19,20,25,17,20,24,23,23,16,13,60,63,60,62,65,24.9680097375238,1,Baja
D. Moldovan,32,180,77,63,63,GK,2,1,64,63,60,63,36,62,25,18,13,24,18,13,25,22,21,13,36,37,32,52,38,45,61,36,48,12,28,17,13,43,23,33,12,20,16,64,63,60,62,63,23.76543209876543,1,Baja
Han Jiaqi,22,185,76,63,73,GK,3,1,66,62,60,69,34,59,10,7,17,33,15,22,30,10,30,25,35,33,33,51,55,45,75,31,67,5,34,22,8,57,11,37,20,20,21,66,62,60,59,69,22.205989773557334,1,Baja
V. Chatziemmanouil,22,187,83,63,71,GK,2,1,67,60,58,67,28,58,10,7,13,21,7,8,13,11,20,15,27,30,36,56,41,44,55,21,67,6,27,11,9,31,14,40,6,12,15,67,60,58,58,67,23.735308416025617,1,Baja
S. Drljača,23,192,92,63,70,GK,3,1,65,61,54,64,31,59,8,7,11,22,6,8,12,10,23,14,24,42,38,61,30,41,60,30,78,8,29,12,5,38,15,44,15,8,12,65,61,54,59,64,24.95659722222222,1,Baja
M. Delač,29,190,80,63,63,GK,2,1,67,61,60,64,35,64,18,13,15,27,15,13,16,16,30,18,35,35,40,48,40,45,55,30,72,14,38,14,9,31,15,40,15,10,12,67,61,60,64,64,22.1606648199446,1,Baja
T. Fayulu,22,192,84,63,71,GK,3,1,66,63,59,65,25,59,12,6,14,26,5,5,11,13,26,15,23,29,32,51,24,44,30,21,56,6,17,8,8,38,10,30,5,13,14,66,63,59,59,65,22.786458333333336,1,Baja
Z. Al Bawardi,25,187,80,63,68,GK,3,1,67,62,65,63,28,62,11,17,11,31,18,12,11,12,27,17,28,27,27,52,26,49,42,24,56,19,24,17,17,48,14,25,20,13,12,67,62,65,62,63,22.877405702193368,1,Baja
Ángel Jiménez,20,194,80,63,75,GK,2,1,65,62,65,64,30,63,12,8,9,28,7,7,13,9,24,17,29,31,38,48,27,49,45,26,54,8,20,12,5,42,12,33,7,12,9,65,62,65,63,64,21.25624402168137,1,Baja
T. Nijhuis,23,196,83,63,69,GK,3,1,65,57,58,64,17,63,12,6,12,27,9,11,14,12,23,14,17,18,35,65,29,44,34,24,57,8,20,12,7,38,18,25,10,14,14,65,57,58,63,64,21.60558100791337,1,Baja
A. Spahić,25,190,77,63,68,GK,3,1,60,60,60,64,31,65,11,7,12,35,6,15,16,12,32,22,30,33,25,57,28,45,42,25,50,6,34,10,8,40,18,25,11,10,13,60,60,60,65,64,21.32963988919668,1,Baja
J. Olschowsky,20,184,83,63,75,GK,3,1,64,63,64,64,20,65,14,6,13,18,9,12,13,10,25,10,22,17,30,50,44,48,78,16,42,7,23,11,8,45,15,38,18,11,11,64,63,64,65,64,24.515595463137995,1,Baja
C. Pym,27,182,70,63,64,GK,4,1,63,62,61,63,45,61,11,13,15,32,17,19,15,33,39,24,43,48,47,56,64,46,59,28,44,16,21,14,11,42,23,48,15,18,17,63,62,61,61,63,21.132713440405748,1,Baja
D. Bouzanis,31,188,84,63,63,GK,3,1,63,62,65,63,59,63,13,14,13,29,11,20,13,14,53,19,58,61,58,59,46,49,65,39,70,18,45,25,15,52,40,51,15,14,13,63,62,65,63,63,23.766410140334997,1,Baja
Park Bae Jong,32,185,78,63,63,GK,3,1,63,64,57,64,54,60,16,11,13,23,19,12,11,17,17,18,56,50,37,56,56,43,54,33,62,18,16,24,18,54,24,56,12,16,14,63,64,57,60,64,22.79035792549306,1,Baja
F. Ibsen,25,194,81,63,69,GK,2,1,62,62,64,62,35,61,16,12,10,25,12,19,13,13,28,25,36,34,42,60,45,48,45,28,61,13,25,10,11,58,12,46,15,13,12,62,62,64,61,62,21.521947071952383,1,Baja
R. McCrorie,24,189,80,63,69,GK,3,1,62,63,63,64,32,62,24,9,10,20,5,16,22,24,21,22,34,30,31,52,57,47,55,33,61,6,35,9,7,38,20,38,10,12,13,62,63,63,62,64,22.395789591556788,1,Baja
P. Dahlberg,23,194,90,63,71,GK,3,1,66,61,60,67,39,64,11,5,11,28,9,10,10,11,40,28,39,39,24,48,21,45,54,35,61,19,30,6,7,44,12,53,22,13,13,66,61,60,64,67,23.91327452439154,1,Baja
P. Boevink,24,190,85,63,69,GK,3,1,62,62,64,63,26,62,10,10,11,31,10,10,11,14,28,12,33,16,25,62,25,48,31,22,57,10,20,14,10,26,15,33,9,14,12,62,62,64,62,63,23.545706371191137,1,Baja
Antonio Gomis,19,188,80,63,78,GK,3,1,64,61,62,65,47,63,12,9,14,29,9,11,12,11,27,18,50,43,48,52,47,47,55,30,60,7,20,9,7,37,19,33,6,12,15,64,61,62,63,65,22.634676324128566,1,Baja
A. Weidinger,25,197,93,63,66,GK,3,1,64,61,63,62,22,64,13,7,10,23,8,11,13,12,23,18,22,23,29,54,38,47,56,21,68,6,22,12,6,24,10,25,14,13,11,64,61,63,64,62,23.963513617975213,1,Baja
J. Wrąbel,26,196,87,63,64,GK,2,1,62,64,55,62,45,63,15,19,15,25,11,16,16,15,19,18,47,41,35,55,32,41,44,39,56,14,25,23,12,37,22,54,21,17,13,62,64,55,63,62,22.646813827571847,1,Baja
K. Bieszczad,19,192,82,63,75,GK,2,1,63,61,60,63,36,65,12,9,11,26,7,5,10,12,19,12,39,32,27,52,22,45,36,28,59,9,22,8,4,45,14,25,5,13,13,63,61,60,65,63,22.24392361111111,1,Baja
G. Morris,38,183,70,63,63,GK,3,1,64,62,61,64,33,62,20,15,14,31,12,14,13,15,50,30,32,34,56,59,55,46,67,30,63,17,30,17,14,57,29,56,13,22,24,64,62,61,62,64,20.902385858042937,1,Baja
K. Trelowski,18,190,77,63,77,GK,2,1,65,58,57,65,30,63,12,6,13,20,8,11,13,10,24,12,29,32,33,56,21,43,36,16,56,7,23,14,6,30,10,41,6,13,11,65,58,57,63,65,21.32963988919668,1,Baja
S. Kolbe,26,187,88,63,67,GK,3,1,61,63,59,66,25,63,10,5,11,25,6,9,14,13,19,14,25,26,38,52,36,44,44,24,64,7,22,12,5,28,14,26,13,13,13,61,63,59,63,66,25.165146272412706,1,Baja
B. Knighton,37,188,82,63,63,GK,2,1,66,60,64,58,55,66,17,10,11,26,10,12,20,13,25,16,59,49,39,60,21,48,59,21,64,12,32,22,11,42,19,45,13,12,12,66,60,64,66,58,23.20054323223178,1,Baja
João Gonçalves,21,188,80,63,73,GK,2,1,62,64,57,56,28,67,10,7,13,18,6,8,10,11,16,10,28,29,22,58,32,43,45,20,54,8,24,12,5,24,12,36,8,10,10,62,64,57,67,56,22.634676324128566,1,Baja
T. Leysen,20,189,84,63,74,GK,2,1,67,60,58,67,30,62,15,7,15,21,10,10,13,9,28,11,33,25,37,50,35,44,47,28,48,14,22,15,5,32,18,28,8,11,15,67,60,58,62,67,23.515579071134628,1,Baja
P. Vaitsiakhovich,32,194,83,63,63,GK,2,1,66,63,58,63,42,63,14,11,16,28,12,12,13,14,34,20,42,41,46,48,42,44,56,32,58,11,40,20,12,45,16,42,21,14,12,66,63,58,63,63,22.053353172494425,1,Baja
A. Kristiansen,32,185,74,63,63,GK,2,1,64,61,62,65,24,63,20,12,16,13,10,12,20,21,13,14,22,28,27,55,31,47,59,34,65,13,13,19,20,48,22,13,12,23,13,64,61,62,63,65,21.62162162162162,1,Baja
L. Hornicek,19,194,95,63,73,GK,2,1,68,61,59,64,23,66,12,7,11,15,8,10,12,14,11,14,19,28,38,42,28,44,35,21,61,8,21,9,6,21,10,37,8,11,13,68,61,59,66,64,25.241789775746625,1,Baja
V. Hladký,31,192,80,63,63,GK,3,1,64,61,63,64,58,62,16,16,23,39,12,21,24,24,46,32,59,56,58,59,52,47,53,27,66,11,22,26,11,47,27,62,20,23,19,64,61,63,62,64,21.70138888888889,1,Baja
Adri López,23,185,73,63,71,GK,3,1,62,60,62,66,28,65,12,6,13,30,5,12,13,12,29,21,28,29,38,54,44,47,59,25,45,8,23,12,4,55,19,39,30,14,14,62,60,62,65,66,21.32943754565376,1,Baja
A. Andersson,31,192,89,63,63,GK,3,1,63,65,57,63,29,64,12,11,16,24,13,13,19,15,19,24,30,27,38,55,32,43,55,32,66,14,13,21,11,30,17,43,12,17,15,63,65,57,64,63,24.14279513888889,1,Baja
C. Miszta,20,193,80,63,74,GK,2,1,66,63,58,65,34,63,14,5,13,24,5,14,13,12,15,11,29,42,34,51,29,44,51,27,52,5,23,12,7,47,11,29,5,11,13,66,63,58,63,65,21.47708663319821,1,Baja
Dalberson,25,191,85,63,68,GK,2,1,65,63,62,67,34,61,11,11,35,58,12,26,17,10,41,41,40,25,27,44,25,47,32,45,64,7,31,8,4,57,37,32,9,12,17,65,63,62,61,67,23.299799895836188,1,Baja
S. Mbaye,26,190,76,63,66,GK,2,1,64,61,65,65,42,60,14,10,12,32,12,15,14,15,36,22,40,44,54,55,38,49,48,30,58,10,32,15,10,38,20,38,16,15,15,64,61,65,60,65,21.05263157894737,1,Baja
E. Ersu,28,195,92,63,65,GK,2,1,63,61,60,66,37,63,16,13,19,30,20,14,20,17,26,17,39,34,23,57,23,45,58,26,68,13,22,20,16,41,11,48,14,19,14,63,61,60,63,66,24.194608809993422,1,Baja
I. Vekič,24,192,86,63,69,GK,3,1,61,64,67,67,30,61,14,15,11,33,18,11,10,10,34,15,26,37,31,47,36,50,30,35,60,11,34,32,16,29,14,33,15,13,11,61,64,67,61,67,23.32899305555556,1,Baja
Zhang Lu,34,192,85,63,63,GK,1,1,61,59,70,70,55,59,15,12,17,13,13,17,12,15,35,22,62,45,56,60,23,53,56,37,65,11,30,13,13,45,19,63,20,17,24,61,59,70,59,70,23.057725694444446,1,Baja
A. Maynard-Brewer,23,188,76,63,70,GK,3,1,64,62,63,63,21,62,12,4,12,26,7,11,15,13,25,16,19,25,39,52,51,47,55,28,55,6,25,8,7,26,7,37,18,14,13,64,62,63,62,63,21.50294250792214,1,Baja
Han Rongze,29,190,80,63,64,GK,3,1,63,61,64,64,41,64,18,12,14,27,15,19,14,17,39,18,39,43,42,57,56,48,61,33,43,16,29,19,18,58,19,26,24,17,11,63,61,64,64,64,22.1606648199446,1,Baja
B. Ozegovic,22,184,81,63,70,GK,3,1,63,60,58,66,35,63,10,9,30,15,5,13,11,11,20,18,36,33,28,53,44,44,61,27,48,9,18,20,8,28,19,27,21,20,13,63,60,58,63,66,23.92485822306238,1,Baja
P. Zubczuk,27,183,77,63,66,GK,2,1,63,60,62,66,44,58,12,11,13,27,13,15,11,12,29,14,44,45,50,64,57,47,70,38,70,12,34,24,14,37,24,43,13,11,12,63,60,62,58,66,22.99262444384723,1,Baja
A. Østbø,31,183,75,63,63,GK,2,1,62,63,61,62,24,61,15,8,8,22,7,7,13,8,12,13,22,27,57,64,56,46,54,29,68,9,27,25,16,53,23,46,23,14,10,62,63,61,61,62,22.39541341933172,1,Baja
L. Marquines,19,187,83,63,82,GK,2,1,64,59,57,67,35,56,33,7,13,28,9,9,15,13,20,18,35,36,34,66,33,43,42,43,60,6,33,15,5,28,12,23,8,15,12,64,59,57,56,67,23.735308416025617,1,Baja
Lee Tae Hee,27,188,87,63,67,GK,3,1,62,61,59,64,44,62,17,16,12,29,18,12,35,13,21,19,42,46,33,59,50,44,53,31,67,19,25,22,17,35,30,59,10,18,12,62,61,59,62,64,24.615210502489816,1,Baja
A. Tarbell,28,191,88,63,65,GK,2,1,63,63,69,69,29,62,14,15,12,22,17,15,14,13,25,18,27,31,25,46,29,52,51,26,57,15,22,12,17,29,19,36,17,12,13,63,63,69,62,69,24.12214577451276,1,Baja
J. Bendik,33,191,98,63,63,GK,3,1,62,60,73,63,35,61,16,10,11,17,13,10,15,19,25,16,37,32,35,62,40,55,42,20,61,12,27,12,12,38,17,50,7,11,6,62,60,73,61,63,26.863298703434666,1,Baja
H. Lewis,24,191,77,63,71,GK,3,1,64,61,64,64,56,62,18,18,16,45,14,30,18,20,45,45,60,51,42,58,45,48,60,29,60,15,23,23,12,46,28,58,25,20,14,64,61,64,62,64,21.106877552698663,1,Baja
A. Okonkwo,20,196,85,63,75,GK,2,1,62,60,56,65,44,64,10,6,12,28,7,9,12,20,17,17,44,44,40,58,31,42,50,29,50,7,20,11,6,30,19,30,13,13,12,62,60,56,64,65,22.12619741774261,1,Baja
T. Coremans,31,186,75,63,63,GK,2,1,64,62,62,63,36,61,14,19,13,35,16,15,16,17,20,21,38,32,35,61,63,47,59,30,63,17,29,14,13,23,18,36,10,16,14,64,62,62,61,63,21.678806798473808,1,Baja
S. Westerveld,19,191,73,63,77,GK,3,1,64,63,61,65,28,62,14,8,13,16,6,10,10,11,24,18,25,32,33,53,22,46,42,21,40,7,19,8,8,27,13,30,7,11,11,64,63,61,62,65,20.010416381129904,1,Baja
D. Mesenhöler,26,187,83,63,65,GK,3,1,63,65,56,62,49,61,18,15,14,32,17,12,18,15,25,21,50,48,34,63,50,42,70,33,63,18,21,21,17,15,23,28,12,20,12,63,65,56,61,62,23.735308416025617,1,Baja
L. Ingolotti,22,184,81,63,72,GK,2,1,64,63,55,64,31,60,13,9,12,24,5,10,12,12,17,12,33,28,39,55,46,41,57,30,45,6,16,12,6,39,17,45,20,14,12,64,63,55,60,64,23.92485822306238,1,Baja
L. Raeder,28,194,89,63,64,GK,3,1,63,61,62,65,30,60,11,9,17,32,10,20,12,13,25,22,26,36,30,62,29,47,65,37,77,8,23,8,7,52,12,32,3,11,10,63,61,62,60,65,23.647571474120525,1,Baja
F. Ravaglia,22,191,75,63,73,GK,3,1,65,64,51,67,37,66,11,11,13,19,9,9,14,13,21,19,35,39,41,43,34,38,45,43,48,9,18,10,10,21,19,23,14,13,10,65,64,51,66,67,20.558646966914285,1,Baja
N. Hagen,25,193,85,63,68,GK,3,1,62,61,60,64,32,63,14,5,13,20,9,10,12,10,21,20,37,25,40,56,21,45,56,25,59,5,22,6,6,40,15,38,5,11,12,62,61,60,63,64,22.819404547773097,1,Baja
Mun Kyung Gun,27,187,81,63,67,GK,3,1,58,62,62,66,38,61,12,8,13,15,7,15,12,13,27,25,36,41,50,60,41,47,66,20,66,7,21,13,7,31,15,50,9,12,12,58,62,62,61,66,23.163373273470786,1,Baja
E. Jakupović,37,191,85,63,63,GK,2,1,61,65,62,58,27,65,11,12,12,39,15,11,11,14,34,22,25,30,36,58,45,47,63,30,57,11,45,24,11,52,22,62,14,12,11,61,65,62,65,58,23.299799895836188,1,Baja
L. Philipp,21,192,83,63,73,GK,2,1,62,60,59,66,26,64,9,4,12,26,4,9,11,10,22,10,24,29,29,55,24,44,30,20,50,6,20,10,7,34,13,31,6,13,11,62,60,59,64,66,22.51519097222222,1,Baja
W. Abdullah,36,196,86,63,63,GK,2,1,62,63,67,60,36,61,14,11,12,22,12,11,11,13,30,20,37,34,43,64,30,50,45,38,71,13,30,22,13,57,12,45,18,11,12,62,63,67,61,60,22.38650562265723,1,Baja
A. Lis,30,192,78,63,64,GK,3,1,65,61,59,66,42,62,12,9,33,22,8,11,17,13,22,14,44,38,37,56,37,44,55,35,72,11,33,12,16,55,18,44,11,16,16,65,61,59,62,66,21.158854166666668,1,Baja
J. Barbieri,26,182,80,63,66,GK,2,1,61,60,63,63,28,65,12,7,13,25,10,11,12,12,25,10,35,18,40,60,55,47,61,33,50,10,28,15,7,48,11,45,8,15,15,61,60,63,65,63,24.151672503320853,1,Baja
V. Rîmniceanu,32,185,90,63,63,GK,3,1,61,62,66,62,40,62,12,8,14,23,8,6,10,12,17,13,40,41,45,62,49,50,60,32,44,9,18,8,7,41,18,28,8,13,13,61,62,66,62,62,26.29656683710737,1,Baja
C. Rushworth,20,188,86,63,77,GK,2,1,64,61,63,65,55,62,13,6,12,40,7,24,13,22,39,30,56,54,55,58,52,47,55,25,58,9,20,14,7,47,10,42,7,14,12,64,61,63,62,65,24.332277048438208,1,Baja
Pablo Cuñat,20,188,78,63,74,GK,3,1,65,63,56,61,25,61,14,7,13,29,9,11,14,11,26,15,22,29,28,62,36,42,59,19,63,8,26,14,5,56,11,52,8,12,13,65,63,56,61,61,22.068809416025356,1,Baja
T. Glover,24,190,90,63,68,GK,2,1,64,54,60,68,22,64,11,7,10,25,9,10,13,10,28,15,16,31,26,60,36,45,63,17,42,6,22,15,7,44,14,43,25,12,10,64,54,60,64,68,24.930747922437675,1,Baja
Ø. Øvretveit,28,193,85,63,64,GK,2,1,65,63,58,65,41,62,19,14,16,32,15,16,17,16,36,23,41,40,45,48,45,44,46,35,62,14,35,18,16,40,18,36,18,18,17,65,63,58,62,65,22.819404547773097,1,Baja
J. Alfonso,32,180,75,63,63,GK,2,1,63,60,60,63,23,62,11,7,14,21,6,6,10,12,23,17,28,15,29,60,45,45,62,19,46,8,25,8,6,21,13,36,5,14,10,63,60,60,62,63,23.148148148148145,1,Baja
Ander Iru,23,188,74,63,71,GK,3,1,66,67,61,60,29,62,12,8,9,21,6,11,14,12,23,19,32,24,28,50,37,46,47,21,43,11,22,8,5,25,15,24,6,14,11,66,67,61,62,60,20.937075599818925,1,Baja
R. Sallinger,26,196,84,63,66,GK,3,1,67,60,64,64,44,60,17,12,20,31,11,19,13,17,25,20,46,40,39,57,57,48,56,44,79,17,20,19,18,11,23,31,19,11,22,67,60,64,60,64,21.86588921282799,1,Baja
K. Forenc,29,191,85,63,64,GK,2,1,61,65,62,60,42,63,12,13,14,23,14,15,14,14,23,18,39,46,51,57,46,47,63,35,81,12,21,13,15,41,23,51,13,15,14,61,65,62,63,60,23.299799895836188,1,Baja
Berto Hórreo,22,191,81,63,74,GK,3,1,64,63,57,63,33,61,15,7,15,22,10,9,14,11,24,14,33,32,44,60,31,43,57,30,74,8,21,15,8,32,17,37,10,12,13,64,63,57,61,63,22.20333872426743,1,Baja
A. Whiteman,23,189,84,63,72,GK,2,1,68,58,56,71,32,60,14,9,14,27,8,12,12,10,25,23,34,28,31,50,41,42,65,26,48,9,25,12,4,33,11,42,21,13,14,68,58,56,60,71,23.515579071134628,1,Baja
L. Andrenacci,27,188,77,63,63,GK,2,1,62,65,59,63,50,63,14,13,12,25,20,17,17,18,19,22,50,49,55,53,58,44,55,28,60,15,18,15,7,34,20,43,19,16,16,62,65,59,63,63,21.785875961973744,1,Baja
T. Boulhendi,21,185,77,63,74,GK,3,1,63,62,62,63,49,61,13,9,14,23,8,13,15,12,21,18,49,48,51,58,48,47,59,34,64,7,23,9,7,28,13,27,6,13,11,63,62,62,61,63,22.4981738495252,1,Baja
M. Bleve,26,184,84,63,65,GK,2,1,67,64,62,66,19,61,10,8,11,19,5,11,12,10,27,14,21,15,24,47,47,47,63,28,53,7,19,8,6,53,10,55,14,10,13,67,64,62,61,66,24.8109640831758,1,Baja
J. Golz,23,187,80,63,68,GK,3,1,62,62,57,63,19,63,11,9,11,23,9,14,10,11,28,16,19,18,31,62,39,43,45,17,60,8,26,13,6,22,11,36,9,10,13,62,62,57,63,63,22.877405702193368,1,Baja
J. Heekeren,21,194,86,63,72,GK,5,1,63,61,61,66,39,62,11,12,20,27,12,14,14,13,23,18,38,40,36,59,35,46,60,32,68,13,31,12,17,38,11,38,15,12,14,63,61,61,62,66,22.85046232330747,1,Baja
H. Ravas,24,192,87,63,66,GK,2,1,63,61,59,63,37,65,19,10,13,19,11,11,16,11,30,20,36,38,35,53,29,44,40,25,45,11,35,11,9,45,15,35,11,10,11,63,61,59,65,63,23.600260416666668,1,Baja
Toni Fuidias,21,195,80,63,75,GK,3,1,65,64,62,62,30,59,10,8,14,15,7,5,10,14,21,11,28,32,32,61,25,47,50,21,59,8,17,12,4,33,18,38,8,13,10,65,64,62,59,62,21.038790269559502,1,Baja
J. Klinsmann,25,194,84,63,69,GK,2,1,63,62,64,65,29,62,14,5,14,26,19,19,11,13,24,19,29,29,35,51,39,48,49,45,59,19,25,14,8,29,13,28,10,12,13,63,62,64,62,65,22.31905622276544,1,Baja
R. Muñoz,40,181,79,63,63,GK,2,1,62,63,64,61,46,68,14,17,16,26,20,18,19,17,19,22,46,45,30,53,57,48,50,32,51,12,19,24,15,43,23,29,15,15,16,62,63,64,68,61,24.114038033027075,1,Baja
H. Konaté,27,182,77,63,64,GK,2,1,63,61,62,66,53,58,16,15,16,33,13,13,16,18,18,29,54,52,55,59,61,47,70,22,57,18,20,11,10,38,26,49,11,18,15,63,61,62,58,66,23.24598478444632,1,Baja
L. Dias,23,185,80,63,72,GK,2,1,64,63,59,63,28,61,14,7,11,26,7,10,13,10,20,18,27,30,36,55,49,44,64,27,43,6,20,12,8,34,11,37,11,13,11,64,63,59,61,63,23.37472607742878,1,Baja
T. Lawal,22,195,84,63,70,GK,3,1,66,61,60,65,30,63,12,7,20,23,6,10,11,12,28,15,33,26,32,53,28,45,48,22,65,9,24,28,5,34,12,32,9,12,12,66,61,60,63,65,22.09072978303748,1,Baja
Lee Bum Soo,31,190,84,63,63,GK,3,1,64,61,58,63,61,61,12,9,10,35,13,11,9,9,34,13,63,57,44,61,43,44,44,23,64,13,13,17,14,67,26,61,16,13,12,64,61,58,61,63,23.26869806094183,1,Baja
M. Howard,35,183,76,63,63,GK,3,1,62,62,61,63,34,64,14,13,15,28,12,12,18,15,25,24,36,31,39,57,49,46,60,30,68,12,23,26,13,35,24,44,17,17,12,62,62,61,64,63,22.69401893158948,1,Baja
D. Smarsch,23,195,97,63,68,GK,4,1,64,64,66,64,31,62,12,9,12,18,6,11,12,8,20,14,31,32,32,47,27,50,33,27,74,9,29,11,7,27,15,24,10,12,11,64,64,66,62,64,25.509533201840892,1,Baja
D. Callender,24,188,88,63,69,GK,1,1,64,58,61,64,25,64,13,5,13,27,6,14,10,13,24,14,25,25,23,62,23,46,33,30,74,7,16,6,4,25,11,36,5,13,11,64,58,61,64,64,24.898143956541425,1,Baja
B. Şen,23,192,81,63,73,GK,2,1,65,60,63,66,24,62,11,7,12,24,8,8,13,11,15,15,20,31,37,56,21,47,32,24,60,6,17,8,6,26,18,47,10,13,14,65,60,63,62,66,21.97265625,1,Baja
Magrão,22,197,87,63,71,GK,2,1,67,59,58,65,24,57,10,8,12,22,9,15,12,12,21,17,26,21,36,62,23,44,31,17,69,10,24,13,6,22,15,34,10,12,13,67,59,58,57,65,22.41748048133165,1,Baja
Luis López,21,190,76,63,76,GK,3,1,66,62,58,63,30,58,11,7,11,15,7,10,13,12,15,15,31,29,33,60,21,44,55,18,49,8,23,12,4,35,13,30,7,13,10,66,62,58,58,63,21.05263157894737,1,Baja
M. Salvi,28,188,80,63,65,GK,3,1,64,59,61,64,40,63,16,13,10,21,15,13,19,19,20,24,44,35,50,63,54,46,62,38,64,18,34,16,13,60,24,61,14,10,12,64,59,61,63,64,22.634676324128566,1,Baja
C. Irwin,33,191,88,63,63,GK,1,1,64,62,63,62,46,62,16,18,19,34,20,16,20,14,30,24,48,44,54,59,34,47,61,33,76,16,34,24,15,50,25,47,10,16,18,64,62,63,62,62,24.12214577451276,1,Baja
F. Andersson,33,196,91,63,63,GK,2,1,62,65,59,63,35,63,10,18,11,26,12,14,16,14,23,22,32,39,34,54,33,44,54,36,71,14,22,21,11,26,20,40,29,18,17,62,65,59,63,63,23.688046647230323,1,Baja
L. Zanotti,28,185,80,63,64,GK,2,1,69,59,54,67,43,60,16,11,15,29,15,13,13,10,23,19,45,41,42,53,65,41,59,21,57,19,23,24,13,25,25,26,12,15,15,69,59,54,60,67,23.37472607742878,1,Baja
S. Perisan,24,192,83,63,67,GK,3,1,68,59,56,65,46,58,12,20,14,22,11,11,13,11,19,24,47,45,34,57,48,42,54,37,62,20,24,21,14,12,25,49,13,14,16,68,59,56,58,65,22.51519097222222,1,Baja
L. Finochietto,25,182,81,63,66,GK,2,1,66,60,60,63,38,61,12,9,13,26,9,8,11,13,19,15,39,37,37,58,39,45,70,45,64,7,23,10,8,27,11,32,15,11,13,66,60,60,61,63,24.45356840961236,1,Baja
A. Narciso,41,185,78,62,62,GK,2,1,61,59,55,63,32,61,16,9,8,24,12,16,20,12,37,24,30,36,32,63,30,41,70,30,65,17,38,21,11,34,38,53,15,11,13,61,59,55,61,63,22.79035792549306,1,Baja
